species_name,type,cover,seedling,tree
masp,Cover,TRUE,FALSE,FALSE
meli,Cover,TRUE,FALSE,FALSE
mevi,Cover,TRUE,FALSE,FALSE
midi,Cover,TRUE,FALSE,FALSE
mire,Cover,TRUE,FALSE,FALSE
mivi,Cover,TRUE,FALSE,FALSE
moal,Cover,TRUE,FALSE,FALSE
moco,Cover,TRUE,FALSE,FALSE
morac,Cover,TRUE,FALSE,FALSE
moss,Cover,TRUE,FALSE,FALSE
moun,Cover,TRUE,FALSE,FALSE
neca,Cover,TRUE,FALSE,FALSE
nesp,Cover,TRUE,FALSE,FALSE
nysy,Tree/Seedling,TRUE,TRUE,TRUE
oscl,Cover,TRUE,FALSE,FALSE
oscl2,Cover,TRUE,FALSE,FALSE
oslo,Cover,TRUE,FALSE,FALSE
osvi,Tree/Seedling,TRUE,TRUE,TRUE
oxsp,Cover,TRUE,FALSE,FALSE
paca,Cover,TRUE,FALSE,FALSE
paqu,Cover,TRUE,FALSE,FALSE
patr,Cover,TRUE,FALSE,FALSE
pelo,Cover,TRUE,FALSE,FALSE
pesa,Cover,TRUE,FALSE,FALSE
pesa2,Cover,TRUE,FALSE,FALSE
pesp,Cover,TRUE,FALSE,FALSE
pevi,Cover,TRUE,FALSE,FALSE
pham,Cover,TRUE,FALSE,FALSE
piab,Tree/Seedling,TRUE,TRUE,TRUE
pipu,Tree/Seedling,TRUE,TRUE,TRUE
pipu2,Cover,TRUE,FALSE,FALSE
pire,Tree/Seedling,FALSE,TRUE,TRUE
piri,Tree/Seedling,FALSE,TRUE,TRUE
pisp,Tree/Seedling,TRUE,TRUE,TRUE
pist,Tree/Seedling,TRUE,TRUE,TRUE
pivi,Tree/Seedling,FALSE,TRUE,TRUE
plma,Cover,TRUE,FALSE,FALSE
plor,Cover,TRUE,FALSE,FALSE
plsp,Cover,TRUE,FALSE,FALSE
poac,Cover,TRUE,FALSE,FALSE
pobi,Cover,TRUE,FALSE,FALSE
pofr,Cover,TRUE,FALSE,FALSE
pogr4,Tree/Seedling,FALSE,TRUE,TRUE
poly,Cover,TRUE,FALSE,FALSE
pop2,Tree/Seedling,FALSE,TRUE,TRUE
popa,Cover,TRUE,FALSE,FALSE
pope,Cover,TRUE,FALSE,FALSE
popu,Cover,TRUE,FALSE,FALSE
posc,,,,
poten,Cover,TRUE,FALSE,FALSE
potr5,Tree/Seedling,TRUE,TRUE,TRUE
prena,Cover,TRUE,FALSE,FALSE
prla,Cover,TRUE,FALSE,FALSE
prna,,,,
prpe,Tree/Seedling,TRUE,TRUE,TRUE
prse,Tree/Seedling,TRUE,TRUE,TRUE
prsp,Tree/Seedling,FALSE,TRUE,TRUE
prvi,Cover,TRUE,FALSE,FALSE
psme,Tree/Seedling,FALSE,TRUE,TRUE
ptaq,Cover,TRUE,FALSE,FALSE
pyel,Cover,TRUE,FALSE,FALSE
pyte,Cover,TRUE,FALSE,FALSE
qual,Tree/Seedling,TRUE,TRUE,TRUE
quco,Tree/Seedling,FALSE,TRUE,TRUE
quil,Cover,TRUE,FALSE,FALSE
qumo,Tree/Seedling,TRUE,TRUE,TRUE
quru,Tree/Seedling,TRUE,TRUE,TRUE
qusp,Tree/Seedling,TRUE,TRUE,TRUE
quve,Tree/Seedling,TRUE,TRUE,TRUE
raab,Cover,TRUE,FALSE,FALSE
rasp,Cover,TRUE,FALSE,FALSE
rhaz,Cover,TRUE,FALSE,FALSE
rhco,Tree/Seedling,TRUE,TRUE,TRUE
rhma,Cover,TRUE,FALSE,FALSE
rhpr,Cover,TRUE,FALSE,FALSE
rhus,Tree/Seedling,TRUE,TRUE,TRUE
risp,Cover,TRUE,FALSE,FALSE
road,Cover,TRUE,FALSE,FALSE
rock,Cover,TRUE,FALSE,FALSE
romu,Cover,TRUE,FALSE,FALSE
root,Cover,TRUE,FALSE,FALSE
rume,Cover,TRUE,FALSE,FALSE
rush,Cover,TRUE,FALSE,FALSE
rusp,Cover,TRUE,FALSE,FALSE
saal,Tree/Seedling,TRUE,TRUE,TRUE
saca,Cover,TRUE,FALSE,FALSE
sara,Cover,TRUE,FALSE,FALSE
sasp,Cover,TRUE,FALSE,FALSE
scla,Cover,TRUE,FALSE,FALSE
sedge,Cover,TRUE,FALSE,FALSE
sial,Cover,TRUE,FALSE,FALSE
smro,Cover,TRUE,FALSE,FALSE
smsp,Cover,TRUE,FALSE,FALSE
snag,Tree/Seedling,FALSE,TRUE,TRUE
soam,Cover,TRUE,FALSE,FALSE
soam3,Cover,TRUE,FALSE,FALSE
sofl,Cover,TRUE,FALSE,FALSE
sosp,Cover,TRUE,FALSE,FALSE
stam,Cover,TRUE,FALSE,FALSE
strep,Cover,TRUE,FALSE,FALSE
stro,Cover,TRUE,FALSE,FALSE
stsp,Cover,TRUE,FALSE,FALSE
taof,Cover,TRUE,FALSE,FALSE
thdi,Cover,TRUE,FALSE,FALSE
thno,Cover,TRUE,FALSE,FALSE
tiam,Tree/Seedling,FALSE,TRUE,TRUE
tico,Cover,TRUE,FALSE,FALSE
tora,Cover,TRUE,FALSE,FALSE
trade,Cover,TRUE,FALSE,FALSE
trail,,TRUE,TRUE,TRUE
trash,Cover,TRUE,FALSE,FALSE
trbo,Cover,TRUE,FALSE,FALSE
trer,Cover,TRUE,FALSE,FALSE
trill,Cover,TRUE,FALSE,FALSE
trsp,Cover,TRUE,FALSE,FALSE
trun,Cover,TRUE,FALSE,FALSE
trvi,Cover,TRUE,FALSE,FALSE
tsca,Tree/Seedling,TRUE,TRUE,TRUE
ulam,Tree/Seedling,FALSE,TRUE,TRUE
ulru,Tree/Seedling,FALSE,TRUE,TRUE
ulsp,Tree/Seedling,FALSE,TRUE,TRUE
unka,Cover,TRUE,FALSE,FALSE
unkb,Cover,TRUE,FALSE,FALSE
unkc,Cover,TRUE,FALSE,FALSE
unkd,Cover,TRUE,FALSE,FALSE
unke,Cover,TRUE,FALSE,FALSE
unkf,Cover,TRUE,FALSE,FALSE
unkg,Cover,TRUE,FALSE,FALSE
unkh,Cover,TRUE,FALSE,FALSE
unki,Cover,TRUE,FALSE,FALSE
unkj,Cover,TRUE,FALSE,FALSE
unkk,Cover,TRUE,FALSE,FALSE
unkl,Cover,TRUE,FALSE,FALSE
unkm,Cover,TRUE,FALSE,FALSE
unkn,Cover,TRUE,FALSE,FALSE
unko,Cover,TRUE,FALSE,FALSE
unkp,Cover,TRUE,FALSE,FALSE
unkq,Cover,TRUE,FALSE,FALSE
unkr,Cover,TRUE,FALSE,FALSE
unks,Cover,TRUE,FALSE,FALSE
unkt,Cover,TRUE,FALSE,FALSE
unku,Cover,TRUE,FALSE,FALSE
unkv,Cover,TRUE,FALSE,FALSE
unkw,Cover,TRUE,FALSE,FALSE
unkx,Cover,TRUE,FALSE,FALSE
unky,Cover,TRUE,FALSE,FALSE
unkz,Cover,TRUE,FALSE,FALSE
urdi,Cover,TRUE,FALSE,FALSE
uvsp,Cover,TRUE,FALSE,FALSE
vapa,Cover,TRUE,FALSE,FALSE
vasp,Cover,TRUE,FALSE,FALSE
veof,Cover,TRUE,FALSE,FALSE
veth,Cover,TRUE,FALSE,FALSE
vevi,Cover,TRUE,FALSE,FALSE
viac,Cover,TRUE,FALSE,FALSE
vicia,Cover,TRUE,FALSE,FALSE
viro,Cover,TRUE,FALSE,FALSE
visp,Cover,TRUE,FALSE,FALSE
visp1,Cover,TRUE,FALSE,FALSE
vitis,Cover,TRUE,FALSE,FALSE
vitr,Cover,TRUE,FALSE,FALSE
wafr,Cover,TRUE,FALSE,FALSE
water,Cover,TRUE,FALSE,FALSE
